"Delete Location","Eliminar cadetería"
"Delete Pickup","Eliminar sucursal"
Locations,Cadeterías
"New Location","Nuev cadetería"
"Something went wrong while saving the Location.","Algo fue mal mientras se actualizaba la cadetería."
"You saved the Location","Cadetería actualizada"
"There was a problem saving the Location","Ocurrió un problema al actualizar la cadetería."
Pickups,Sucursales
"New Pickup","Nueva sucursal"
"Something went wrong while saving the Pickup.","Algo fue mal mientras se actualizaba la sucursal."
"You saved the Pickup","Sucursal actualizada"
"There was a problem saving the Pickup","Ocurrió un problema al actualizar la sucursal"
"-- Default value --","-- Valor por defecto --"
"Could not save the Location: %1","No se pudo guardar la cadetería: %1"
"Requested Location doesn't exist","La cadetería solicitada no existe"
"Unable to remove Location %1","No se pudo eliminar la cadetería %1"
"Could not save the Pickup: %1","No se pudo guardar la sucursal: %1"
"Requested Pickup doesn't exist","La sucursal solicitada no existe"
"Unable to remove Pickup %1","No se pudo eliminar la sucursal %1"
Pickup,Sucursal
"Pickup %1","Sucursal %1"
"Are you sure you want to delete the Location ""${ $.$data.title }"" ?","¿Está seguro de querer eliminar la cadetería ""${ $.$data.title }"" ?"
"Are you sure you want to delete the Pickup ""${ $.$data.title }"" ?","¿Está seguro de querer eliminar la sucursal ""${ $.$data.title }"" ?"
"An error occurred while deleting Locations.","Ocurrió un error al eliminar cadeterías."
"Location was deleted","La cadetería fue eliminada"
"Requested Location for delete does not exist.","La cadetería solicitada para eliminar no existe."
"There was a problem deleting the Location","Ocurrió un poblema al eliminar la cadetería"
"An error occurred while deleting Pickups.","Ocurrió un error al eliminar sucursales."
"Pickup was deleted","La sucursal fue eliminada"
"Requested Pickup for delete does not exist.","La sucursal solicitada para eliminar no existe."
"There was a problem deleting the Pickup","Ocurrió un problema al eliminar la sucursal"
"GENTo Shipping Locations","GENTo Shipping Cadeterías"
"GENTo Shipping Pickup","GENTo Shipping Sucursales"
"Location Information","Información de cadetería"
"Add New Location","Agregar nueva cadetería"
"Are you sure you wan't to delete selected Locations?","¿Está seguro de eliminarr las cadeterías seleccionadas?"
"Pickup Information","Información de sucursal"
"Add New Pickup","Agregar nueva sucursal"
"Are you sure you wan't to delete selected Pickups?","¿Está seguro de eliminarr las sucursales seleccionadas?"
"Pending state","Estado pendiente"
"Complete state","Estado completo"
"Monday","Lunes"
"Tuesday","Martes"
"Wednesday","Miércoles"
"Thursday","Jueves"
"Friday","Viernes"
"Saturday","Sábado"
"Sunday","Domingo"
"Lunch time: %1-%2","Horario de almuerzo: %1-%2"
"Working days:","Días laborales:"
